N,Title,Keywords,Abstract,Reference,Doi
4529,360-Degree Complex Primary Reconstruction Using Porous Tantalum Cages for Adult Degenerative Spinal Deformity,ALIF; deformity; degenerative; interbody cage; lumbar; tantalum; trabecular metal,"STUDY DESIGN: Retrospective cohort study. OBJECTIVE: To assess both implant performance and the amount of correction that can be achieved using multilevel anterior lumbar interbody fusion (ALIF). METHODS: Retrospective cohort study (n = 178) performed over a 4-year period. Surgical variables examined included blood loss, operative time, perioperative complications, and secondary/revision procedures. Follow-up radiographic assessment was performed to record implant-related problems. Radiographic parameters were examined pre- and postoperatively. Health-related quality of life (HRQOL) outcome measures were collected preoperatively and at 6 weeks, 6 months, 1 year, and 2 years postoperatively. Descriptive and comparative statistical analysis, using paired-sample t test and repeated-measures analysis of variance (rANOVA), was performed. RESULTS: Lumbar lordosis increased from 42° ± 17° preoperatively to 55° ± 11° postoperatively (P < .001). The visual analog scale back pain mean score improved from 8.3 ± 1.5 preoperatively to 2.6 ± 2.4 at 2 years (P < .001) The mean Oswestry Disability Index improved from 69.5 ± 21.5 preoperatively to 19.9 ± 15.2 at 2 years (P < .001). The EQ-5D mean score improved from 0.2 ± 0.2 preoperatively to 0.8 ± 0.1 at 2 years (P = .02). There were no neurological, vascular, or visceral approach-related injuries reported. No rod breakages and no symptomatic nonunions occurred. There was one revision procedure performed for fracture. CONCLUSIONS: The use of porous tantalum cages as part of a 360-degree fusion to treat adult degenerative spinal deformity has been demonstrated to be a safe and effective strategy, leading to good clinical, functional, and radiographic outcomes in the short term",Global Spine J. 2019 Sep;9(6):613-618,10.1177/2192568218814531
1908,"Testing the validity and responsiveness of a new cancer-specific health utility measure (FACT-8D) in relapsed/refractory mantle cell lymphoma, and comparison to EQ-5D-5L",Cancer; Condition-specific non-preference-based measures; Generic preference-based measures; Quality of life; Utilities,"BACKGROUND: The FACT-8D is a new cancer-specific, preference-based measure (PBM) of health, derived from the Functional Assessment of Cancer Therapy - General (FACT-G) questionnaire. The FACT-8D's measurement properties have not been tested to date. We assessed it's validity and responsiveness in relapsed/refractory mantle cell lymphoma (RR MCL) and compared the results to the EQ-5D-5L. METHODS: Blinded analysis of pooled data from a phase 3 clinical trial. FACT-8D baseline and follow-up data (weeks 4, 7, 16, 31) were scored using Australian preference weights, the first available value-set. Convergent validity was assessed by estimating baseline correlations with the FACT-Lym total score, Trial Outcome Index (TOI), FACT-Lym lymphoma-specific sub-scale (LymS), EQ-5D Visual Analog Scale (VAS), and haemoglobin (HgB). Relevant clinical variables were used to categorise patients to test known groups' validity and responsiveness was investigated using data from baseline (n = 250) and week 31 (n = 130). Results were compared with EQ-5D-5L, scored using the UK 3L crosswalk and the 5L England value-sets. RESULTS: The FACT-8D showed good convergent validity and responsiveness; baseline Pearson correlation coefficients between FACT-8D Index scores and other PRO measures were moderate to very strong (range: 0.49 for the EQ-VAS to 0.79 for FACT TOI) and the size of the change in FACT-8D Index scores at week 31 differed significantly (p < 0.005) between patients categorised as improved, worsened or stable using the FACT-Lym total score, LymS, and HgB However, when assessing known groups' validity, FACT-8D failed to discriminate between patients categorised by health status on four of the seven variables analysed. Overall, FACT-8D and EQ-5D-5L performed similarly, although EQ-5D-5L showed better known groups' validity. CONCLUSIONS: This is the first investigation into the psychometric properties of the FACT-8D. In this RR MCL trial dataset, it showed good convergent validity and responsiveness, but poorer known groups' validity, and EQ-5D performed as well or better on the tests conducted. The FACT-8D may offer an alternative method to generate utilities for the cost-effectiveness analysis of cancer treatments but needs further testing in other types of cancer patients. Evaluation of utility gains may have been limited by high baseline performance status in this RR MCL trial sample",J Patient Rep Outcomes. 2020 Mar 27;4(1):22,10.1186/s41687-020-0185-3
9688,Drug-coated Balloon Angioplasty of Femoropopliteal Lesions Maintained Superior Efficacy over Conventional Balloon: 2-year Results of the Randomized EffPac Trial,"Aged; Angioplasty, Balloon/methods; Coated Materials, Biocompatible; Female; Femoral Artery; Germany; Humans; Lower Extremity/blood supply/diagnostic imaging; Male; Paclitaxel/administration & dosage; Peripheral Arterial Disease/diagnostic imaging/therapy; Popliteal Artery; Prospective Studies; Quality of Life; Single-Blind Method; Vascular Patency","Background Paclitaxel drug-coated balloon (DCB) catheter angioplasty is the preferred treatment for revascularization of femoropopliteal lesions in peripheral artery disease, but mortality is a safety concern. Purpose To assess 2-year efficacy and safety of DCB angioplasty compared with conventional balloon angioplasty (also known as plain old balloon angioplasty or POBA). Materials and Methods This prospective, multicenter, randomized controlled trial enrolled consecutive participants with symptomatic superficial femoral and/or popliteal artery disease at 11 German centers between September 2015 and December 2016 Participants underwent DCB angioplasty or conventional balloon angioplasty Primary outcome of 6-month late lumen loss showed superiority of DCB angioplasty over conventional balloon angioplasty. Evaluation at 2 years included secondary outcomes of primary patency and target lesion revascularization (TLR) estimated with Kaplan-Meier analysis, clinical and hemodynamic improvement, quality of life, target limb amputation, and all-cause mortality. Results A total of 171 participants (mean age, 69 years ± 8; 111 men) were evaluated. At 2 years, primary patency was achieved in 90.2% (95% confidence interval [CI]: 80.4%, 95.2%) of DCB angioplasty and 62.7% (95% CI: 50.0%, 73.0%) of conventional balloon angioplasty participants (P < .001). Freedom from TLR occurred in 97.2% (95% CI: 89.1%, 99.3%) of DCB angioplasty and 78% (95% CI: 66.5%, 86.0%) of conventional balloon angioplasty participants (P = .001). The groups did not differ in sustained improvement from baseline to 2 years in Rutherford-Becker category (row mean scores difference, 1.7; P = .19) and showed no difference in mean improvement in the Walking Impairment Questionnaire score (-0.8%; 95% CI: -11.8%, 10.2%; P = .88), EuroQol Group's five-dimension index of quality of life (-0.06; 95% CI: -0.17, 0.03; P = .20), or ankle-brachial index (0.03; 95% CI: -0.08, 0.14; P = .57). No major amputation was necessary. One DCB angioplasty and two conventional balloon angioplasty participants died (risk ratio, 0.48; 95% CI: 0.04, 5.10). Conclusion At 2 years after paclitaxel drug-coated balloon (DCB) angioplasty, primary patency and freedom from target lesion revascularization remained superior compared with conventional balloon angioplasty. DCB angioplasty resulted in sustained clinical and hemodynamic improvement with no increased risk of mortality. © RSNA, 2020 Online supplemental material in available for this article",Radiology. 2020 May;295(2):478-487,10.1148/radiol.2020191619
15498,Cost-effectiveness of percutaneous coronary intervention versus bypass surgery from a Dutch perspective,"Computer Simulation; Coronary Artery Bypass/adverse effects/economics/mortality; Coronary Artery Disease/diagnosis/economics/mortality/therapy; Cost-Benefit Analysis; Decision Support Techniques; Drug-Eluting Stents/economics; Health Status; Hospital Costs; Humans; Length of Stay/economics; Models, Economic; Netherlands; Patient Readmission/economics; Patient Selection; Percutaneous Coronary Intervention/adverse; Quality of Life; Quality-Adjusted Life Years; Retreatment/economics; Surveys and Questionnaires; Time Factors; Treatment Outcome","AIMS: Recent cost-effectiveness analyses of percutaneous coronary intervention (PCI) versus coronary artery bypass grafting (CABG) have been limited by a short time horizon or were restricted to the US healthcare perspective. We, therefore, used individual patient-level data from the SYNTAX trial to evaluate the cost-effectiveness of PCI versus CABG from a European (Dutch) perspective METHODS AND RESULTS: Between 2005 and 2007, 1800 patients with three-vessel or left main coronary artery disease were randomised to either CABG (n=897) or PCI with drug-eluting stents (DES; n=903). Costs were estimated for all patients based on observed healthcare resource usage over 5 years of follow-up. Health state utilities were evaluated with the EuroQOL questionnaire. A patient-level microsimulation model based on Dutch life-tables was used to extrapolate the 5-year in-trial data to a lifetime horizon. Although initial procedural costs were lower for CABG, total initial hospitalisation costs per patient were higher (€17 506 vs €14 037, p<0.001). PCI was more costly during the next 5 years of follow-up, due to more frequent hospitalisations, repeat revascularisation procedures and higher medication costs. Nevertheless, total 5-year costs remained €2465/patient higher with CABG. When the in-trial results were extrapolated to a lifetime horizon, CABG was projected to be economically attractive relative to DES-PCI, with gains in both life expectancy and quality-adjusted life expectancy The incremental cost-effectiveness ratio (ICER) (€5390/quality-adjusted life year (QALY) gained) was favourable and remained <€80 000/QALY in >90% of the bootstrap replicates. Outcomes were similar when incorporating the prognostic impact of non-fatal myocardial infarction and stroke, as well as across a broad range of assumptions regarding the effect of CABG on post-trial survival and costs However, DES-PCI was economically dominant compared with CABG in patients with a SYNTAX Score ≤22 or in those with left main disease. In patients for whom the SYNTAX Score II favoured PCI based on lower predicted 4-year mortality, PCI was also economically dominant, whereas in those patients for whom the SYNTAX Score II favoured surgery, CABG was highly economically attractive (ICER range, €2967 to €3737/QALY gained). CONCLUSIONS: For the broad population with three-vessel or left main disease who are candidates for either CABG or PCI, we found that CABG is a clinically and economically attractive revascularisation strategy compared with DES-PCI from a Dutch healthcare perspective. The cost-effectiveness of CABG versus PCI differed according to several anatomic factors, however. The newly developed SYNTAX Score II provides enhanced prognostic discrimination in this population, and may be a useful tool to guide resource allocation as well. TRIAL REGISTRATION NUMBER: Clinical trial unique identifier: NCT00114972 (http://www.clinical-trials.gov)",Heart. 2015 Dec;101(24):1980-8,10.1136/heartjnl-2015-307578
4045,Tetrahydrocannabinol:Cannabidiol Oromucosal Spray for Multiple Sclerosis-Related Resistant Spasticity in Daily Practice,Activities of Daily Living; Adult; Baclofen/therapeutic use; Cannabidiol; Dronabinol; Drug Combinations; Female; Humans; Italy; Male; Middle Aged; Multiple Sclerosis/complications/drug therapy; Muscle Spasticity/drug therapy/etiology; Oral Sprays; Plant Extracts/administration & dosage/adverse effects; Prospective Studies; Quality of Life,"BACKGROUND: Tetrahydrocannabinol:cannabidiol (THC:CBD) oromucosal spray (Sativex®) is an add-on therapy for moderate-to-severe multiple sclerosis (MS)-related drug-resistant spasticity (MSS). AIM: The MOVE-2 EU study collected data from everyday clinical practice concerning the effectiveness and tolerability of THC:CBD. METHODS: This was an observational, prospective, multicentre, non-interventional study. Patients with resistant MSS prescribed add-on THC:CBD oromucosal spray according to approved labelling, were followed for 3 months. After 1 month, only responders (≥20% improvement in spasticity) continued treatment. The main endpoints were the evolution of MSS and associated symptoms, quality of life (QoL) and tolerability. RESULTS: Four hundred and thirty three patients (55% female) were recruited (98% in Italy). The mean duration of MSS was 7.4 years and baclofen was used by 78.1% of participants Three hundred and forty nine participants continued with THC:CBD oromucosal spray after 1 month, and 281 after 3 months. THC:CBD mean dosage was 6 sprays/day. MSS scores and spasticity-related symptoms (spasms, fatigue, pain, sleep quality and bladder dysfunction) were significantly improved by THC:CBD at 3 months, as were activities of daily living, and QoL (EQ-5D VAS). Adverse events, none of which were severe or serious, were reported by 10.4% of patients. CONCLUSIONS: In everyday clinical practice, THC:CBD oromucosal spray provided symptomatic relief of MSS and related troublesome symptoms",Eur Neurol. 2016;76(5-6):216-226,10.1159/000449413
8224,"[Assessment of the safety, tolerability and effectiveness of first Russian generic aceclofenac in patients with undifferentiated peripheral inflammatory arthritis]","Anti-Inflammatory Agents, Non-Steroidal/therapeutic use; Arthritis, Rheumatoid/drug therapy; Diclofenac/analogs & derivatives/therapeutic use; Female; Humans; Male; Russia; NSAID; aceclofenac; non-steroidal anti-inflammatory drugs; undifferentiated arthritis","AIM: To evaluate the effectiveness and tolerability of the drug in patients with undifferentiated peripheral inflammatory arthritis (UPIA). MATERIALS AND METHODS: We observed 60 patients (39 women and 21 men) met G. Hazlewood et al., UPIA criteria, 2011. Patients were divided into 3 groups: with monoarthritis, oligoarthritis and polyarthritis. They took aceclofenac 100 mg twice day for 3 weeks. RESULTS: We noted significant decreasing in pain level according to visual analogue scale: in patients with monoarthritis by 69.3 mm (p0.001); in oligoarthritis group by 47.5 mm (p0.001), in patients with polyarthritis by 30 mm (p0.001). The life quality by the EQ-5D-5L index was improved too in all groups from 0.616 to 0.829 (p0.001). The satisfaction with the therapy was: in monoarthritis patients (80% of patients and 93% of doctors noted good results), in oligoarthritis group (53% and 39% accordingly) and polyarthritis (74% and 64% respectively). We suppose the difference was due to the fact that mono- and oligoarthritis patients suffered from initial forms of seronegative spondylarthropathy, in which the effectiveness of NSAIDs is traditionally higher; polyarthritis patients probably had debut of rheumatoid arthritis. Adverse events of therapy were mild. We noted gastrointestinal tract symptoms (dyspepsia) and increased ALT in 10 patients and increased blood pressure in 1 patient. The symptoms did not require discontinuation of therapy. Сonclusion Post-registration observational study of first Russian generic aceclofenac (Alental, Vertex, Russia) was conducted. In UPIA patients aceclofenac therapy was most effective in mono- and oligoarthritis patients. The first Russian generic aceclofenac (Alental, Vertex, Russia) has good efficacy, tolerability and safety and can be recommended for arthritis treatment",Ter Arkh. 2020 Jun 5;92(5):61-68,10.26442/00403660.2020.05.000589
6823,Cost-effectiveness of laparoscopic ileocaecal resection versus infliximab treatment of terminal ileitis in Crohn's disease: the LIR!C Trial,Adult; Cecum/surgery; Colectomy/economics/methods; Cost-Benefit Analysis; Crohn Disease/economics/therapy; Female; Follow-Up Studies; Gastrointestinal Agents/economics/therapeutic use; Health Care Costs; Humans; Ileitis/diagnosis/economics/therapy; Ileum/surgery; Infliximab/economics/therapeutic use; Laparoscopy/economics; Male; Retrospective Studies; Treatment Outcome; Young Adult; Crohn’s disease; economic evaluation; infliximab; laparoscopic ileocecal resection,"OBJECTIVE: Evaluate the cost-effectiveness of laparoscopic ileocaecal resection compared with infliximab in patients with ileocaecal Crohn's disease failing conventional therapy. DESIGN: A multicentre randomised controlled trial was performed in 29 centres in The Netherlands and the UK. Adult patients with Crohn's disease of the terminal ileum who failed >3 months of conventional immunomodulators or steroids without signs of critical strictures were randomised to laparoscopic ileocaecal resection or infliximab. Outcome measures included quality-adjusted life-years (QALYs) based on the EuroQol (EQ) 5D-3L Questionnaire and the Inflammatory Bowel Disease Questionnaire (IBDQ). Costs were measured from a societal perspective. Analyses were performed according to the intention-to-treat principle. Missing cost and effect data were imputed using multiple imputation. Cost-effectiveness planes and cost-effectiveness acceptability curves were estimated to show uncertainty. RESULTS: In total, 143 patients were randomised. Mean Crohn's disease total direct healthcare costs per patient at 1 year were lower in the resection group compared with the infliximab group (mean difference €-8931; 95% CI €-12 087 to €-5097). Total societal costs in the resection group were lower than in the infliximab group, however not statistically significant (mean difference €-5729, 95% CI €-10 606 to €172). The probability of resection being cost-effective compared with infliximab was 0.96 at a willingness to pay (WTP) of €0 per QALY gained and per point improvement in IBDQ Score. This probability increased to 0.98 at a WTP of €20 000/QALY gained and 0.99 at a WTP of €500/point of improvement in IBDQ Score. CONCLUSION: Laparoscopic ileocaecal resection is a cost-effective treatment option compared with infliximab. CLINICAL TRIAL REGISTRATION NUMBER: Dutch Trial Registry NTR1150; EudraCT number 2007-005042-20 (closed on 14 October 2015)",Gut. 2019 Oct;68(10):1774-1780,10.1136/gutjnl-2018-317539
14884,Cost-effectiveness of hand-assisted retroperitoneoscopic versus standard laparoscopic donor nephrectomy: a randomized study,Adult; Aged; Cost-Benefit Analysis; Female; Hand-Assisted Laparoscopy/economics/methods; Humans; Kidney Transplantation/economics; Laparoscopy/economics/methods; Living Donors; Male; Middle Aged; Nephrectomy/economics/methods; Single-Blind Method; Tissue and Organ Harvesting/economics/methods,"BACKGROUND: Live kidney donation has a clear economical benefit over dialysis and deceased-donor transplantation. Compared with mini-incision open donor nephrectomy, laparoscopic donor nephrectomy (LDN) is considered cost-effective However, little is known on the cost-effectiveness of hand-assisted retroperitoneoscopic donor nephrectomy (HARP). This study evaluated the cost-effectiveness of HARP versus LDN. METHODS: Alongside a randomized controlled trial, the cost-effectiveness of HARP versus LDN was assessed. Eighty-six donors were included in the LDN group and 82 in the HARP group. All in-hospital costs were recorded. During follow-up, return-to-work and other societal costs were documented up to 1 year. The EuroQol-5D questionnaire was administered up to 1 year postoperatively to calculate quality-adjusted life years (QALYs). RESULTS: Mean total costs from a healthcare perspective were $8935 for HARP and $8650 for LDN (P = 0.25). Mean total costs from a societal perspective were $16,357 for HARP and $16,286 for LDN (P = 0.79). On average, donors completely resumed their daytime jobs on day 54 in the HARP group and on day 52 in the LDN group (P = 0.65). LDN resulted in a gain of 0.005 QALYs. CONCLUSIONS: Absolute costs of both procedures are very low and the differences in costs and QALYs between LDN and HARP are very small. Other arguments, such as donor safety and pain, should determine the choice between HARP and LDN",Transplantation. 2013 Jul 27;96(2):170-5,10.1097/TP.0b013e318296ca25
12299,The effect of vortioxetine on health-related quality of life in patients with major depressive disorder,"Adult; Aged; Depressive Disorder, Major/drug therapy; Female; Health Status; Humans; Male; Piperazines/therapeutic use; Quality of Life; Serotonin Uptake Inhibitors/therapeutic use; Sulfides/therapeutic use; Surveys and Questionnaires; Vortioxetine; antidepressant; health-related quality of life; major depressive disorder; patient-reported outcomes; vortioxetine","PURPOSE: Major depressive disorder (MDD) has detrimental effects on health-related quality of life (HRQoL). We describe the effect of vortioxetine on HRQoL in MDD patients by using patient-reported outcome instruments. METHODS: HRQoL was evaluated in 5 short-term (6-8 weeks), randomized studies of vortioxetine (5-20 mg/d; n = 2155) versus placebo (n = 1316) in adults with MDD by using the 36-item Short-Form Health Survey (SF-36), the Quality of Life Enjoyment and Satisfaction Questionnaire-Short Form, the EuroQol 5-Dimension Questionnaire (EQ-5D), and the 12-item Health Status Questionnaire in 1 study in elderly patients. Only patients receiving the approved doses of vortioxetine 5, 10, 15, or 20 mg/d were included in the analysis. A random effects meta-analysis was performed on the 4 adult MDD studies that used the SF-36. A within-studies mixed model for repeated measures analysis based on the full analysis set (FAS) was used unless otherwise specified. Standardized effect size (SES) was calculated to reflect clinical relevance, based on a Cohen's d of 0.2. FINDINGS: Vortioxetine produced significantly better results compared with placebo in the SF-36 mental component summary score (5 mg: 2.6, P = 0.001, SES of 0.22, n = 604; 10 mg: 4.8, P < 0.001, SES of 0.42, n = 328) and 4 domain scores (vitality, social functioning, role emotional, and mental health). Vortioxetine was also significantly better in the EuroQoL-5 Dimension Questionnaire Health State score (10 mg: 7.5, P < 0.05, SES of 0.33, n = 86) and Quality of Life Enjoyment and Satisfaction Questionnaire-Short Form total score (15 mg: 3.3, P < 0.01, SES of 0.38, n = 127; 20 mg: 4.5, P < 0.0001, SES of 0.52, n = 134) (FAS, last-observation-carried-forward). In the study of elderly patients, vortioxetine 5 mg (n = 136) improved 12-item Health Status Questionnaire scores significantly more than placebo (n = 148) for the domains of health perception (10.4, P < 0.0001, SES of 0.54), mental health (7.9, P < 0.001, SES of 0.44), and energy (6.4, P < 0.05, SES of 0.28) (FAS, mixed model for repeated measures) IMPLICATIONS: Vortioxetine yielded significant, meaningful HRQoL improvements in 6 MDD studies of 6 to 8 weeks' duration",Clin Ther. 2015 Oct 1;37(10):2309-2323.e6,10.1016/j.clinthera.2015.08.008
5993,[Quality of life after bariatric surgery evaluated by standardised questionnaires],Bariatric Surgery; Humans; Psychometrics; Quality of Life; Surveys and Questionnaires,"There is an increasing focus on patient-reported outcome measures (PROMs) to document bariatric surgical quality. In this review, the literature has been scrutinised, and 19 clinical studies (including 14 validated bariatric procedure/disease-specific and generic questionnaires) have been analysed Long-term PROMs are significantly improved after bariatric surgery, and we recommend to use a combination of the disease-specific IWQOL Lite questionnaire and the generic EQ-5D-5L questionnaire for future research and for the monitoring of bariatric surgical quality",Ugeskr Laeger. 2020 Dec 14;182(51):V05200404,na
